species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Biscoe,34.30642800569516,18.407233626940013,223.2153447163396,3329.573173833454,Female,2009
Adelie,Biscoe,46.524063213182,15.282350080938942,219.54959860693964,5780.65413206083,Female,2009
Gentoo,Dream,43.385912742215694,18.425647906036737,218.6117957421166,3517.846405284654,Female,2008
Gentoo,Biscoe,59.11541196498668,17.635877189613186,189.97606920678442,5713.348050874584,Male,2007
Adelie,Torgersen,35.18106980962144,19.650701319269608,176.7742377000239,3705.393918435878,Female,2008
Adelie,Torgersen,43.041028973757896,13.99863736614645,195.77583054714452,5014.374876211347,Male,2009
Gentoo,Torgersen,58.760436915072646,19.492634381017034,182.237946384204,5198.942064635392,Female,2009
Chinstrap,Dream,55.90144596208446,17.646639260879326,213.00211424524525,4545.55711132219,Male,2008
Gentoo,Biscoe,54.5694819511052,21.189132832415552,192.41988386572933,3799.1184361082323,Male,2009
Gentoo,Torgersen,39.192327743735845,15.971726194724962,229.56100185073498,3465.519754935946,Male,2008
Gentoo,Dream,36.79940865322681,18.414023902325162,209.81735256337458,2819.4816764247344,Male,2007
Gentoo,Biscoe,50.48768854792185,20.929036086284146,220.5263532544273,3794.207044466606,Male,2008
Adelie,Dream,57.65783970100861,13.961081715121706,179.81895569176905,5051.386045912619,Female,2007
Gentoo,Torgersen,47.41097955788307,20.972719292786188,222.85885445408474,6077.897346414537,Female,2007
Chinstrap,Torgersen,47.819348960422246,18.878240067326832,226.44267424029027,5836.336136146987,Female,2009
Adelie,Torgersen,39.799425075657815,13.669831296483444,200.73665321031723,5457.83319552709,Male,2009
Chinstrap,Dream,53.26105566277826,15.628093962353256,207.76892332730768,5538.410435711876,Female,2009
Chinstrap,Dream,37.243703085331894,19.048645544620364,217.12377825327673,5093.945652513583,Male,2008
Chinstrap,Torgersen,41.001179001116704,13.665745052337682,182.31547900836435,3637.032687237611,Male,2008
Chinstrap,Dream,43.799502061951465,17.990231865480695,201.6513985113431,5965.902110540987,Female,2009
Adelie,Torgersen,46.059285413822515,16.005417678404836,195.52111863856646,5114.636322861003,Female,2008
Adelie,Torgersen,38.76626764141471,18.315690349246808,180.6360655375727,4717.586271529584,Male,2009
Chinstrap,Biscoe,35.2580126803281,13.484233084025108,193.68453091520036,3099.562089168532,Male,2008
Chinstrap,Dream,48.8920511671449,20.42090917167996,176.02216625374413,4309.399957703132,Female,2007
Adelie,Torgersen,40.03734021410703,21.277307341090136,173.52290251001972,4357.289776326935,Female,2007
Adelie,Torgersen,48.08405108912184,21.238573984399807,179.97481106013456,5812.428994281612,Female,2009
Adelie,Dream,36.344974670040564,19.397075386640566,228.82379158376125,4667.933592676039,Female,2008
Gentoo,Biscoe,45.33135280100748,14.192724417097308,204.422242617806,4069.441976293475,Male,2008
Gentoo,Biscoe,46.74620939516861,19.46941084580379,228.98350750803996,6216.481182638374,Female,2007
Gentoo,Torgersen,33.52514726261674,13.306530098253932,197.5173748214778,3098.5941359747367,Female,2007
Chinstrap,Dream,41.356617650332815,13.285837832843576,190.3971518520303,4221.174341923001,Female,2009
Gentoo,Biscoe,35.796403615821795,15.818325840856147,201.8623699075744,2851.288830617059,Male,2007
Chinstrap,Dream,33.84281168800111,17.20460279939919,197.9311896293417,5363.65483476095,Male,2009
Chinstrap,Dream,59.323906390723494,19.571422309585465,178.2342163714429,6005.075587916943,Male,2007
